,hr0,hr0.25,hr0.5,hr1,hr2,hr4,hr8,hr12,hr24
AT1G47655,-0.123583414,-0.626971367,-0.441454867,-0.068743303,-0.086944102,0.316208902,2.491034942,-0.645853327,-0.813693463
AT1G47760,1.09729095,0.26502747,0.656359786,0.123793372,-1.218852942,0.568791093,-1.718979603,0.976388758,-0.749818884
AT1G48100,-0.333651714,-0.149590518,-0.498155921,0.922565558,-0.625929363,2.328335739,-0.647873245,-0.358874945,-0.636825591
AT1G48500,-0.543558805,-0.222352959,-0.748773563,2.511129207,-0.365291308,0.422065553,-0.585330758,-0.345798012,-0.122089355
AT1G49010,-0.972354664,-0.025298008,1.060431484,-0.34455217,-0.964498489,2.015084597,-0.696062889,0.371474431,-0.444224292
AT1G49100,1.798900714,-0.188209544,-1.15525278,0.760627486,-0.552466066,-0.140288129,-1.414914654,0.232483288,0.659119686
AT1G49130,-0.267908546,-0.354244128,0.030848958,-0.779491564,0.138132595,-0.877528891,2.497457242,-0.40899272,0.021727054
AT1G49210,1.605565397,-0.075063361,0.691188639,-1.803215915,0.865306623,0.187274041,-0.707356868,-0.145843687,-0.617854869
AT1G49450,2.27761213,-0.37486614,0.205268029,0.55516429,-0.929421527,-0.187840823,-1.006349403,0.093673944,-0.6332405
AT1G49530,-0.971296666,-0.500520062,-0.690654874,-0.800493875,1.200533027,-0.286973701,2.009984864,-0.22910478,0.268526068
AT1G49560,1.002635183,0.450402058,1.708178413,0.01614208,-0.65053495,-0.143098234,-1.73789377,-0.005716445,-0.640114334
AT1G49620,0.881635487,-1.212310981,0.270467751,-1.835325958,0.081685759,1.17389069,-0.461034667,0.782993588,0.31799833
AT1G49720,0.326233603,-0.372245771,-0.18121855,-0.415162607,1.308222235,-1.18681078,-0.670020025,-0.683496655,1.87449855
AT1G50020,-0.778437977,0.240128152,-0.670828198,2.279979114,-0.448088693,0.828800505,-0.283554008,-0.44643089,-0.721568005
AT1G50040,-0.45274533,2.624234093,-0.009414329,-0.408489424,-0.480349392,-0.498201472,-0.19062297,-0.458667715,-0.125743461
AT1G50250,-1.112841807,-0.094614073,-0.493469353,1.923841921,-0.492218661,1.341451357,-0.192611242,-0.026073629,-0.853464512
AT1G50420,-0.127053164,-0.947944252,-0.720971806,-0.712578306,-0.17030191,2.172041986,1.04859802,-0.09117946,-0.450611106
AT1G50640,-0.514268102,-0.63910075,0.787474403,-0.933156303,0.097372795,-0.734431372,2.281290377,-0.280873181,-0.064307867
AT1G51070,-0.887816059,-0.447355045,-0.164109276,0.716318493,-0.224143666,1.981646648,-1.401423201,0.682134501,-0.255252396
